Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
ATPAF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
ATPBD4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
ATR	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
ATRIP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AUP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AURKA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AURKB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AVEN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AVPI1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AZI1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AZI2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
AZIN1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B3GALNT2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B3GAT3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B3GNT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B3GNTL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B4GALNT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B4GALT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B4GALT2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B4GALT3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
B4GALT4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BAD	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BAHD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BARD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BAT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BAT4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BATF3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BAZ1B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BBS10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BBS2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCAN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCDIN3D	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCL11A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCL2L1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCL7B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BCL7C	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BECN1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BET1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BICD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BIN3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BLCAP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BLK	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BLMH	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BLOC1S2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BMP8B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BNIP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BNIP3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BOLA2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BPNT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRCA1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRD8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRD9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRIP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRP44	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRP44L	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRPF1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRUNOL6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BRWD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BSCL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BSN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BTBD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BTBD10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BTBD7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
BTG1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf111	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf118	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf119	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf125	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf140	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf46	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf79	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C10orf88	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf24	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf51	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf71	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C11orf75	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C12orf30	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C12orf4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C12orf61	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C12orf66	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C13orf23	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C13orf27	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf106	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf126	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf138	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf142	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf143	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C14orf149	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C15orf33	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf13	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf61	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf65	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf80	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf87	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C16orf93	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf101	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf103	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf37	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf50	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf75	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C17orf90	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C18orf10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C18orf32	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C18orf45	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C18orf56	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf25	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf42	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf43	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf48	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf54	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf57	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf61	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C19orf73	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf103	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf104	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf109	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf131	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf135	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf156	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf163	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf183	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf183	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf187	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf212	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf216	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf35	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf63	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf74	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf89	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1orf96	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1QBP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1QL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C1RL	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C20orf111	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C20orf135	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C20orf27	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C20orf3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C21orf2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C21orf45	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C21orf58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C21orf59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C21orf66	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C22orf13	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C22orf40	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2CD3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf16	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf24	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf28	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf43	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf68	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C2orf76	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf17	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf21	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf34	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf39	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf64	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C3orf75	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C4B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C4B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C4orf34	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C4orf36	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf28	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf33	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf34	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf39	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf45	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C5orf54	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf108	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf125	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf129	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf130	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf167	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf170	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf195	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf62	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C6orf64	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C7orf11	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C7orf23	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C7orf44	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C7orf47	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C7orf49	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C8orf55	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C8orf58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C8orf76	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf100	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf114	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf123	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf125	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf140	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf156	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf173	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf40	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf41	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf64	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf72	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
C9orf82	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CABLES2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CADM4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CADPS2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CAGE1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CALM2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CALR	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CAMK2G	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CAMK2N2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CAMSAP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CAPRIN2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CARHSP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CARS	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CARS2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CASKIN2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CASP9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CATSPER2P1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBARA1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBR4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBS	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBX1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBX4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CBX5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CC2D1B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCBL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC106	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC112	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC114	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC127	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC14	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC142	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC148	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC151	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC25	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC25	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC28B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC34	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC41	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC51	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC56	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC57	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC72	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC82	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC85B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC87	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC88B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC90A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCDC90B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNC	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNE2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNF	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNO	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCNT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCPG1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCRK	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCT3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCT6A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CCT8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD2BP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD37	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD47	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD58	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CD68	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDC26	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDC2L2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDC37	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDC42BPG	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDC42EP4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDCA3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDCA4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDCP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDK4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDK5RAP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDKL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDKN1C	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDKN2AIPNL	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CDR2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEBPA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEBPD	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEBPD	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEBPZ	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CECR5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CELSR3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CENPB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CENPB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CENPBD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CENPK	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CENPM	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEP152	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEP170	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEP290	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEP70	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CEP76	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CETN3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CFDP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CFL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHCHD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHCHD8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHDH	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHERP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHKA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHMP4A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CHSY1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CIDEA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CIDECP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CINP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CITED2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CKAP5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CKS2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLCC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLCN2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLDND2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLIC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLK1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLN3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLN6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLNS1A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLOCK	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLPTM1L	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLSPN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CLTB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CMBL	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CMTM4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CNIH	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CNN2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CNOT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CNOT4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
CNPY2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
COG8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
COL4A3BP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
COMMD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
COMMD6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
