Mouse genes	Human genes
Gm1673	C4orf48
Cplx1	CPLX1
Nsg1	D4S234E
Dgkq	DGKQ
Dok7	DOK7
Fam193a	FAM193A
Fam53a	FAM53A
Fgfr3	FGFR3
Grk4	GRK4
Haus3	HAUS3
Htt	HTT
Idua	IDUA
4933407H18Rik	KIAA1530
Letm1	LETM1
Lrpap1	LRPAP1
Lyar	LYAR
Maea	MAEA
Mfsd10	MFSD10
Mfsd7a	MFSD7
Mxd4	MXD4
Nat8l	NAT8L
Nkx1-1	NKX1-1
Nkx3-2	NKX3-2
Nop14	NOP14
Otop1	OTOP1
Pcgf3	PCGF3
Pde6b	PDE6B
Pigg	PIGG
Poln	POLN
Rgs12	RGS12
Rnf212	RNF212
Rnf4	RNF4
Sh3bp2	SH3BP2
Slbp	SLBP
Slc26a1	SLC26A1
Spon2	SPON2
Stx18	STX18
Tacc3	TACC3
Tmed11	TMED11P
Tmem128	TMEM128
Tmem129	TMEM129
Tmem175	TMEM175
Tnip2	TNIP2
Whsc1	WHSC1
Whsc2	WHSC2
Zbtb49	ZBTB49
Zfyve28	ZFYVE28
Zfp141	ZNF141
Gm1043	C4orf50
Evc2	EVC2
Msx1	MSX1
Stk32b	STK32B
Ablim2	ABLIM2
Bod1l	BOD1L
Ccdc96	CCDC96
Clnk	CLNK
Cno	CNO
Cpz	CPZ
Crmp1	CRMP1
Defb43	DEFB131
Drd5	DRD5
Hmx1	HMX1
Htra3	HTRA3
Jakmip1	JAKMIP1
D5Ertd579e	KIAA0232
Man2b2	MAN2B2
2310079F23Rik	METTL19
Mrfap1	MRFAP1
Ppp2r2c	PPP2R2C
Psapl1	PSAPL1
Sh3tc1	SH3TC1
Slc2a9	SLC2A9
Sorcs2	SORCS2
Tada2b	TADA2B
Tbc1d14	TBC1D14
Wdr1	WDR1
Wfs1	WFS1
Zfp518b	ZNF518B
Adra2c	ADRA2C
Afap1	AFAP1
Ctbp1	CTBP1
Cytl1	CYTL1
Evc	EVC
Fam184b	FAM184B
Fgfrl1	FGFRL1
Gak	GAK
Grpel1	GRPEL1
Hgfac	HGFAC
Hs3st1	HS3ST1
Ldb2	LDB2
Med28	MED28
Cpeb2	CPEB2
Ncapg	NCAPG
Rab28	RAB28
Cc2d2a	CC2D2A
Clrn2	CLRN2
Fbxl5	FBXL5
Fgfbp1	FGFBP1
Kcnip4	KCNIP4
Lap3	LAP3
Prom1	PROM1
Tapt1	TAPT1
Lcorl	LCORL
Pacrgl	PACRGL
Qdpr	QDPR
Acox3	ACOX3
C1qtnf7	C1QTNF7
Dhx15	DHX15
Sod3	SOD3
Anapc4	ANAPC4
1810013D10Rik	C4orf52
Gpr125	GPR125
Lgi2	LGI2
Pi4k2b	PI4K2B
Rbpj	RBPJ
Sel1l3	SEL1L3
Sepsecs	SEPSECS
Slc34a2	SLC34A2
Slit2	SLIT2
Stim2	STIM2
Tbc1d19	TBC1D19
Zcchc4	ZCCHC4
Art3	ART3
Cckar	CCKAR
Ppargc1a	PPARGC1A
Ugdh	UGDH
Bst1	BST1
Cd38	CD38
Pcdh7	PCDH7
Arap2	ARAP2
0610040J01Rik	C4orf19
1110003E01Rik	C4orf34
Chrna9	CHRNA9
Gm17384	DTHD1
Fam114a1	FAM114A1
3110047P20Rik	KIAA1239
Klb	KLB
Klf3	KLF3
Klhl5	KLHL5
Lias	LIAS
N4bp2	N4BP2
Nsun7	NSUN7
Pds5a	PDS5A
Pgm1	PGM2
Rbm47	RBM47
Rfc1	RFC1
Tbc1d1	TBC1D1
Tlr1	TLR1
Tlr6	TLR6
Tmem156	TMEM156
Ube2k	UBE2K
Uchl1	UCHL1
Wdr19	WDR19
Apbb2	APBB2
Atp8a1	ATP8A1
Bend4	BEND4
Corin	CORIN
Grxcr1	GRXCR1
Kctd8	KCTD8
Limch1	LIMCH1
Rhoh	RHOH
Rpl9	RPL9
Shisa3	SHISA3
Slc30a9	SLC30A9
Tmem33	TMEM33
Atp10d	ATP10D
Cnga1	CNGA1
Commd8	COMMD8
Cox7b2	COX7B2
Gabra2	GABRA2
Gabra4	GABRA4
Gabrb1	GABRB1
Gabrg1	GABRG1
Gnpda2	GNPDA2
Guf1	GUF1
Nfxl1	NFXL1
Nipal1	NIPAL1
Phox2b	PHOX2B
Tec	TEC
Txk	TXK
Yipf7	YIPF7
Cwh43	CWH43
Fryl	FRYL
Ociad1	OCIAD1
Ociad2	OCIAD2
Slain2	SLAIN2
Slc10a4	SLC10A4
Zar1	ZAR1
Afp	AFP
Chic2	CHIC2
Kdr	KDR
Kit	KIT
Srp72	SRP72
Aasdh	AASDH
Arl9	ARL9
Cep135	CEP135
Clock	CLOCK
Dcun1d4	DCUN1D4
Exoc1	EXOC1
Fip1l1	FIP1L1
Gc	GC
Gsx2	GSX2
Hopx	HOPX
Igfbp7	IGFBP7
C530008M17Rik	KIAA1211
Lnx1	LNX1
Gm7271	LOC644145
Lrrc66	LRRC66
Nmu	NMU
Noa1	NOA1
Paics	PAICS
Pdcl2	PDCL2
Pdgfra	PDGFRA
Pf4	PF4
Polr2b	POLR2B
Ppat	PPAT
Ppbp	PPBP
Rasl11b	RASL11B
Rest	REST
Scfd2	SCFD2
Sgcb	SGCB
2700023E23Rik	SNHG13
Snora26	SNORA26
Spata18	SPATA18
Spink2	SPINK2
Srd5a3	SRD5A3
Tmem165	TMEM165
Usp46	USP46
Areg	AREG
Btc	BTC
Gk2	GK2
Grsf1	GRSF1
Cxcl15	IL8
Ugt2a1	UGT2A1
Ugt2b35	UGT2B15
Ugt2b38	UGT2B17
Ugt2b1	UGT2B4
Epha5	EPHA5
Lphn3	LPHN3
Prkg2	PRKG2
Sult1e1	SULT1E1
Tecrl	TECRL
Cenpc1	CENPC1
Stap1	STAP1
Tmprss11a	TMPRSS11A
Tmprss11c	TMPRSS11B
Tmprss11bnl	TMPRSS11BNL
Tmprss11d	TMPRSS11D
Tmprss11e	TMPRSS11E
Tmprss11f	TMPRSS11F
Uba6	UBA6
Ugt2a3	UGT2A3
Ugt2b34	UGT2B10
Ythdc1	YTHDC1
Adamts3	ADAMTS3
Afm	AFM
Alb	ALB
Amtn	AMTN
Ankrd17	ANKRD17
4930432K09Rik	C4orf40
4931407G18Rik	CABS1
Cnot6l	CNOT6L
Cox18	COX18
Csn1s2a	CSN1S2AP
Csn1s2b	CSN1S2BP
Cxcl5	CXCL6
Dck	DCK
Enam	ENAM
Epgn	EPGN
Ereg	EREG
Mob1b	MOB1B
Mthfd2l	MTHFD2L
Odam	ODAM
Parm1	PARM1
Prol1	PROL1
Rassf6	RASSF6
Rufy3	RUFY3
Smr3a	SMR3A
Sult1b1	SULT1B1
Sult1d1	SULT1D1P
Ugt2a2	UGT2A2
Utp3	UTP3
Aff1	AFF1
Ambn	AMBN
Bmp3	BMP3
Cxcl1	CXCL1
Cxcl10	CXCL10
Cxcl13	CXCL13
Cxcl2	CXCL2
Cxcl3	CXCL3
Cxcl9	CXCL9
Dmp1	DMP1
Eif4e	EIF4E
Fgf5	FGF5
Herc3	HERC3
Hnrnpd	HNRNPD
Igj	IGJ
Npffr2	NPFFR2
Prdm8	PRDM8
Slc4a4	SLC4A4
Snca	SNCA
Unc5c	UNC5C
Gm1045	C4orf26
Ccdc158	CCDC158
Ccng2	CCNG2
Ccni	CCNI
Cdkl2	CDKL2
Csn1s1	CSN1S1
Csn2	CSN2
Csn3	CSN3
Fam47e	FAM47E
G3bp2	G3BP2
Ibsp	IBSP
Mepe	MEPE
Mrpl1	MRPL1
Naaa	NAAA
Nup54	NUP54
Ppef2	PPEF2
Rchy1	RCHY1
Gm5614	RPL36P8
Scarb2	SCARB2
Sdad1	SDAD1
Sept11	SEPT11
Shroom3	SHROOM3
Sowahb	SOWAHB
Stbd1	STBD1
Thap6	THAP6
Uso1	USO1
Cxcl11	CXCL11
Gnrhr	GNRHR
Klhl2	KLHL2
Antxr2	ANTXR2
Anxa3	ANXA3
Bmp2k	BMP2K
1700007G11Rik	C4orf22
Fras1	FRAS1
Naa11	NAA11
Paqr3	PAQR3
Rasgef1b	RASGEF1B
Cops4	COPS4
Enoph1	ENOPH1
Hnrpdl	HNRPDL
Lin54	LIN54
Plac8	PLAC8
Sec31a	SEC31A
Agpat9	AGPAT9
Cds1	CDS1
Coq2	COQ2
Fam175a	FAM175A
Helq	HELQ
Mrps18c	MRPS18C
Wdfy3	WDFY3
1700016H13Rik	C4orf36
Dspp	DSPP
Hpse	HPSE
Ptpn13	PTPN13
Slc10a6	SLC10A6
Nkx6-1	NKX6-1
Abcg2	ABCG2
Adh4	ADH4
Atoh1	ATOH1
Bmpr1b	BMPR1B
Cxxc4	CXXC4
Grid2	GRID2
Hadh	HADH
Manba	MANBA
Mmrn1	MMRN1
Pdha2	PDHA2
Pdlim5	PDLIM5
Slc39a8	SLC39A8
Smarcad1	SMARCAD1
Arhgap24	ARHGAP24
Fam13a	FAM13A
Fam190a	FAM190A
Gprin3	GPRIN3
Herc6	HERC6
Hsd17b11	HSD17B11
Hsd17b13	HSD17B13
Gm6368	HSP90AB3P
Klhl8	KLHL8
Mapk10	MAPK10
Nap1l5	NAP1L5
Nudt9	NUDT9
Pigy	PIGY
Pkd2	PKD2
Ppm1k	PPM1K
Sparcl1	SPARCL1
Spp1	SPP1
Tigd2	TIGD2
B930007M17Rik	C4orf37
Hpgds	HPGDS
Adh1	ADH1C
Adh5	ADH5
Adh6a	ADH6
Adh7	ADH7
4930579F01Rik	C4orf17
Dnajb14	DNAJB14
Lamtor3	LAMTOR3
Lef1	LEF1
1110002E22Rik	LOC285556
Metap1	METAP1
Rap1gds1	RAP1GDS1
Rg9mtd2	RG9MTD2
Tspan5	TSPAN5
Aimp1	AIMP1
Arhgef38	ARHGEF38
Bank1	BANK1
Bdh2	BDH2
Cenpe	CENPE
Cisd2	CISD2
Ddit4l	DDIT4L
Emcn	EMCN
Gstcd	GSTCD
H2afz	H2AFZ
Ints12	INTS12
Mttp	MTTP
Nfkb1	NFKB1
Npnt	NPNT
Papss1	PAPSS1
Ppp3ca	PPP3CA
Nhedc1	SLC9B1
Nhedc2	SLC9B2
Tbck	TBCK
Tet2	TET2
Ube2d3	UBE2D3
Agxt2l1	AGXT2L1
Alpk1	ALPK1
Ank2	ANK2
Ap1ar	AP1AR
4930422G04Rik	C4orf21
5730508B09Rik	C4orf32
Casp6	CASP6
Ccdc109b	CCDC109B
Ccna2	CCNA2
Cfi	CFI
Col25a1	COL25A1
Cyp2u1	CYP2U1
Dapp1	DAPP1
Dkk2	DKK2
Egf	EGF
Elovl6	ELOVL6
Enpep	ENPEP
Gar1	GAR1
Larp7	LARP7
Lrit3	LRIT3
Neurog2	NEUROG2
Ostc	OSTC
Pitx2	PITX2
Pla2g12a	PLA2G12A
Ppa2	PPA2
Prdm5	PRDM5
Rpl34	RPL34
Rrh	RRH
Sec24b	SEC24B
Sgms2	SGMS2
Tacr3	TACR3
Tifa	TIFA
Arsj	ARSJ
1810037I17Rik	C4orf3
Camk2d	CAMK2D
Fgf2	FGF2
Il2	IL2
Il21	IL21
Mettl14	METTL14
Myoz2	MYOZ2
Ndst3	NDST3
Ndst4	NDST4
Nudt6	NUDT6
Pgrmc2	PGRMC2
Phf17	PHF17
Sec24d	SEC24D
Snhg8	SNHG8
Snora24	SNORA24
Synpo2	SYNPO2
Tram1l1	TRAM1L1
Ugt8a	UGT8
Usp53	USP53
Adad1	ADAD1
Bbs12	BBS12
Bbs7	BBS7
Cetn4	CETN4P
Exosc9	EXOSC9
4932438A13Rik	KIAA1109
Mad2l1	MAD2L1
A930038C07Rik	NDNF
Pde5a	PDE5A
Qrfpr	QRFPR
Tnip3	TNIP3
Trpc3	TRPC3
Anxa5	ANXA5
Elf2	ELF2
Fabp2	FABP2
Fga	FGA
Fgb	FGB
Fgg	FGG
Hhip	HHIP
Hspa4l	HSPA4L
Maml3	MAML3
Plk4	PLK4
Rab33b	RAB33B
Setd7	SETD7
Slc7a11	SLC7A11
Ucp1	UCP1
Ankrd50	ANKRD50
Fat4	FAT4
Intu	INTU
Prss12	PRSS12
Slc25a31	SLC25A31
Spata5	SPATA5
Spry1	SPRY1
3110057O12Rik	C4orf29
D3Ertd751e	C4orf33
Mfsd8	MFSD8
Sclt1	SCLT1
Clgn	CLGN
Mgst2	MGST2
Pabpc4l	PABPC4L
Pcdh10	PCDH10
Abce1	ABCE1
Anapc10	ANAPC10
Hmgb2	HMGB2
Il15	IL15
Mab21l2	MAB21L2
Npy2r	NPY2R
Npy5r	NPY5R
Pcdh18	PCDH18
Smad1	SMAD1
Tdo2	TDO2
4930583H14Rik	C4orf49
Ccrn4l	CCRN4L
Elmod2	ELMOD2
Galnt7	GALNT7
Gucy1a3	GUCY1A3
4933434I20Rik	LOC152586
Naa15	NAA15
Ndufc1	NDUFC1
Nr3c2	NR3C2
Scoc	SCOC
Smarca5	SMARCA5
Usp38	USP38
Plrg1	PLRG1
Pou4f2	POU4F2
Rps3a	RPS3A
1700011L22Rik	C4orf51
Frem3	FREM3
Gab1	GAB1
Inpp4b	INPP4B
Mmaa	MMAA
Otud4	OTUD4
Rnf150	RNF150
Tbc1d9	TBC1D9
Zfp330	ZNF330
Ednra	EDNRA
Lsm6	LSM6
Ttc29	TTC29
Zfp827	ZNF827
Arhgap10	ARHGAP10
1700007B14Rik	LOC285423
Prmt10	PRMT10
Tmem184c	TMEM184C
Accn5	ACCN5
Arfip1	ARFIP1
Dchs2	DCHS2
Dclk2	DCLK2
Fam160a1	FAM160A1
Fbxw7	FBXW7
Fhdc1	FHDC1
Glrb	GLRB
Gucy1b3	GUCY1B3
D930015E06Rik	KIAA0922
Gm8426	LOC729558
Lrba	LRBA
Mnd1	MND1
Npy1r	NPY1R
Pet112l	PET112
Ppid	PPID
Prss48	PRSS48
Sfrp2	SFRP2
Sh3d19	SH3D19
Tigd4	TIGD4
Tmem154	TMEM154
Trim2	TRIM2
Etfdh	ETFDH
Gria2	GRIA2
Sc4mol	MSMO1
Pdgfc	PDGFC
Tll1	TLL1
Tlr2	TLR2
Gm17359	C4orf45
4930579G24Rik	C4orf46
Ctso	CTSO
Fam198b	FAM198B
Fnip2	FNIP2
Lrat	LRAT
Mtap9	MAP9
Rapgef2	RAPGEF2
Rbm46	RBM46
Rxfp1	RXFP1
Tmem144	TMEM144
1810029B16Rik	C4orf43
March1	MARCH1
Naf1	NAF1
Tktl2	TKTL2
Anp32-ps	ANP32C
Cbr4	CBR4
Cpe	CPE
Ddx60	DDX60
Fstl5	FSTL5
Mfap3l	MFAP3L
Palld	PALLD
Sh3rf1	SH3RF1
Spock3	SPOCK3
Tmem192	TMEM192
Trim60	TRIM60
Trim75	TRIM75
Aadat	AADAT
Anxa10	ANXA10
2700029M09Rik	C4orf27
Clcn3	CLCN3
Glra3	GLRA3
Hand2	HAND2
Nek1	NEK1
Adam29	ADAM29
Casp3	CASP3
BC088983	CEP44
Gpm6a	GPM6A
Hpgd	HPGD
Wdr17	WDR17
Fbxo8	FBXO8
Galntl6	GALNTL6
Irf2	IRF2
Sap30	SAP30
Scrg1	SCRG1
Asb5	ASB5
Spata4	SPATA4
Spcs3	SPCS3
Aga	AGA
Neil3	NEIL3
Vegfc	VEGFC
Acsl1	ACSL1
F11	F11
Fat1	FAT1
Frg1	FRG1
Gm6219	FRG2
Klkb1	KLKB1
Pdlim3	PDLIM3
Slc25a4	SLC25A4
Tlr3	TLR3
Ankrd37	ANKRD37
1700029J07Rik	C4orf47
Ccdc110	CCDC110
Ccdc111	CCDC111
Cdkn2aip	CDKN2AIP
Cldn22	CLDN22
Cldn24	CLDN24
Dctd	DCTD
Enpp6	ENPP6
Fam149a	FAM149A
Helt	HELT
Ing2	ING2
4933411K20Rik	KIAA1430
Lrp2bp	LRP2BP
Mlf1ip	MLF1IP
Mtnr1a	MTNR1A
Odz3	ODZ3
Rwdd4a	RWDD4
Snx25	SNX25
Sorbs2	SORBS2
Stox2	STOX2
D030016E14Rik	TRAPPC11
Ufsp2	UFSP2
Wwc2	WWC2
Cyp4v3	CYP4V2
Triml1	TRIML1
Triml2	TRIML2
Zfp42	ZFP42
BC030870	LOC100505989
1700023E05Rik	LOC100506564
Gm5549	LOC100507096
Rell1	RELL1
Slc10a7	SLC10A7
Tmem150c	TMEM150C
Brd9	BRD9
Ccdc127	CCDC127
Cep72	CEP72
Clptm1l	CLPTM1L
Exoc3	EXOC3
Irx2	IRX2
Lpcat1	LPCAT1
Lrrc14b	LRRC14B
Ndufs6	NDUFS6
Pdcd6	PDCD6
Slc6a18	SLC6A18
Slc6a19	SLC6A19
Tert	TERT
Trip13	TRIP13
Zdhhc11	ZDHHC11
BC018507	KIAA0947
1700001L19Rik	C5orf49
Fastkd3	FASTKD3
Med10	MED10
Mtrr	MTRR
Nsun2	NSUN2
Ube2ql1	UBE2QL1
Adcy2	ADCY2
Ahrr	AHRR
Irx1	IRX1
Irx4	IRX4
Mrpl36	MRPL36
Nkd2	NKD2
Slc6a3	SLC6A3
Slc9a3	SLC9A3
Tppp	TPPP
Arl15	ARL15
Ccno	CCNO
Cct5	CCT5
Cenph	CENPH
Cenpk	CENPK
Cmbl	CMBL
Ctnnd2	CTNND2
Dap	DAP
Ddx4	DDX4
Dnahc5	DNAH5
Fam105a	FAM105A
Fam105b	FAM105B
Fam173b	FAM173B
March6	MARCH6
Ropn1l	ROPN1L
Sema5a	SEMA5A
0610007N19Rik	SNORD123
Trio	TRIO
Ank	ANKH
Basp1	BASP1
Fam134b	FAM134B
Fbxl7	FBXL7
Gm5468	LOC285696
March11	MARCH11
Myo10	MYO10
Rxfp3	RXFP3
Zfp622	ZNF622
Adamts16	ADAMTS16
Papd7	PAPD7
Sdha	SDHA
Slc12a7	SLC12A7
Srd5a1	SRD5A1
Tas2r119	TAS2R1
Cdh12	CDH12
Cdh18	CDH18
Cdh10	CDH10
C9	C9
Cdh9	CDH9
Hmgcs1	HMGCS1
Mlvi2	MLVI2
Npr3	NPR3
Prdm9	PRDM9
6030458C11Rik	C5orf22
Cdh6	CDH6
Drosha	DROSHA
Golph3	GOLPH3
Mtmr12	MTMR12
Pdzd2	PDZD2
Rai14	RAI14
Sub1	SUB1
Zfr	ZFR
Brix1	BRIX1
2410089E03Rik	C5orf42
Capsl	CAPSL
Dnajc21	DNAJC21
Egflam	EGFLAM
Lmbrd2	LMBRD2
1110020G09Rik	NADKD1
Nipbl	NIPBL
Prlr	PRLR
Rad1	RAD1
Ranbp3l	RANBP3L
Gm8729	RPS4XP6
Slc45a2	SLC45A2
Spef2	SPEF2
Tars	TARS
Ttc23l	TTC23L
Ugt3a2	UGT3A2
Wdr70	WDR70
AW549877	C5orf51
Card6	CARD6
Fyb	FYB
Gdnf	GDNF
Heatr7b2	HEATR7B2
Nup155	NUP155
Osmr	OSMR
Oxct1	OXCT1
Plcxd3	PLCXD3
Ptger4	PTGER4
Rictor	RICTOR
Ttc33	TTC33
Agxt2	AGXT2
Amacr	AMACR
C6	C6
C7	C7
Dab2	DAB2
Fgf10	FGF10
Ghr	GHR
Il7r	IL7R
Lifr	LIFR
Rpl37	RPL37
Skp2	SKP2
Slc1a3	SLC1A3
Snord72	SNORD72
Gm7120	C5orf28
4833420G17Rik	C5orf34
Ccdc152	CCDC152
Ccl28	CCL28
Fbxo4	FBXO4
Hcn1	HCN1
E130304F04Rik	NIM1
Nnt	NNT
Paip1	PAIP1
Prkaa1	PRKAA1
Zfp131	ZNF131
Arsb	ARSB
Gzma	GZMA
Mocs2	MOCS2
Mrps30	MRPS30
Msh3	MSH3
Ppap2a	PPAP2A
Emb	EMB
Isl1	ISL1
Ndufs4	NDUFS4
Parp8	PARP8
Actbl2	ACTBL2
Ankrd55	ANKRD55
Cdc20b	CDC20B
Crhbp	CRHBP
Dhfr	DHFR
Dhx29	DHX29
Esm1	ESM1
Fst	FST
Gapt	GAPT
Gpbp1	GPBP1
Gpx8	GPX8
Gzmk	GZMK
Hspb3	HSPB3
Htr1a	HTR1A
Gm6320	IDAS
Il31ra	IL31RA
Il6st	IL6ST
Itga1	ITGA1
Itga2	ITGA2
Map3k1	MAP3K1
Mier3	MIER3
Pelo	PELO
Skiv2l2	SKIV2L2
Slc38a9	SLC38A9
Snx18	SNX18
Taf9	TAF9
Adamts6	ADAMTS6
Ankra2	ANKRA2
Ccnb1	CCNB1
Cd180	CD180
Foxd1	FOXD1
Gcnt4	GCNT4
Kif2a	KIF2A
Mccc2	MCCC2
Pde4d	PDE4D
2810008M24Rik	C5orf43
Cdk7	CDK7
Depdc1b	DEPDC1B
Dimt1	DIMT1
Elovl7	ELOVL7
Ercc8	ERCC8
Ipo11	IPO11
Ndufaf2	NDUFAF2
Part1	PART1
Plk2	PLK2
Slc30a5	SLC30A5
Zswim6	ZSWIM6
2410002O22Rik	C5orf44
Cwc27	CWC27
Erbb2ip	ERBB2IP
Fam159b	FAM159B
Mast4	MAST4
Nln	NLN
Ppwd1	PPWD1
Rgs7bp	RGS7BP
Rnf180	RNF180
Sgtb	SGTB
Srek1	SREK1
Srek1ip1	SREK1IP1
Trim23	TRIM23
Bdp1	BDP1
Bhmt2	BHMT2
Enc1	ENC1
F2r	F2R
F2rl1	F2RL1
F2rl2	F2RL2
Gfm2	GFM2
Gpr98	GPR98
Hexb	HEXB
Mtap1b	MAP1B
Polk	POLK
Rab3c	RAB3C
Rad17	RAD17
Rasgrf2	RASGRF2
Serf1	SERF1A
Thbs4	THBS4
Bhmt	BHMT
Pik3r1	PIK3R1
Btf3	BTF3
Cartpt	CARTPT
Ccdc125	CCDC125
Fcho2	FCHO2
Gtf2h2	GTF2H2
Marveld2	MARVELD2
Mrps27	MRPS27
Mrps36-ps2	MRPS36
Naip1	NAIP
Ptcd2	PTCD2
Rgnef	RGNEF
Smn1	SMN1
Tmem171	TMEM171
Tmem174	TMEM174
Tnpo1	TNPO1
Utp15	UTP15
Zfp366	ZNF366
Aggf1	AGGF1
Ankdd1b	ANKDD1B
Ankrd31	ANKRD31
Ccnh	CCNH
Ckmt2	CKMT2
Col4a3bp	COL4A3BP
Fam169a	FAM169A
Hmgcr	HMGCR
Iqgap2	IQGAP2
Nsa2	NSA2
Otp	OTP
Pde8b	PDE8B
Poc5	POC5
Gm9392	RAP1BL
Rasa1	RASA1
S100z	S100Z
Snora47	SNORA47
Sv2c	SV2C
Wdr41	WDR41
Zbed3	ZBED3
Cox7c	COX7C
Edil3	EDIL3
Glrx	GLRX
Mef2c	MEF2C
Nr2f1	NR2F1
Pam	PAM
Zfyve16	ZFYVE16
Acot12	ACOT12
Ankrd34b	ANKRD34B
Ap3b1	AP3B1
Atg10	ATG10
Cmya5	CMYA5
Dmgdh	DMGDH
Fam151b	FAM151B
Jmy	JMY
Lhfpl2	LHFPL2
Mtx3	MTX3
Papd4	PAPD4
Scamp1	SCAMP1
Serinc5	SERINC5
Spz1	SPZ1
Ssbp2	SSBP2
Tbca	TBCA
Zcchc9	ZCCHC9
Atp6ap1l	ATP6AP1L
Homer1	HOMER1
Rps23	RPS23
Tmem167	TMEM167A
Xrcc4	XRCC4
Arrdc3	ARRDC3
Cetn3	CETN3
Hapln1	HAPLN1
C130071C03Rik	LINC00461
9330111N05Rik	LOC729040
Lysmd3	LYSMD3
Mblac2	MBLAC2
Polr3g	POLR3G
Tmem161b	TMEM161B
Vcan	VCAN
Ankrd32	ANKRD32
Arsk	ARSK
Cast	CAST
Chd1	CHD1
Ell2	ELL2
Erap1	ERAP1
Fam172a	FAM172A
Fam81b	FAM81B
Gpr150	GPR150
2210408I21Rik	KIAA0825
Lix1	LIX1
Lnpep	LNPEP
Mctp1	MCTP1
Pcsk1	PCSK1
Pou5f2	POU5F2
Rfesd	RFESD
Rgmb	RGMB
Rhobtb3	RHOBTB3
Riok2	RIOK2
Spata9	SPATA9
Ttc37	TTC37
Apc	APC
Atg12	ATG12
Cpeb4	CPEB4
Efna5	EFNA5
Fer	FER
Gnpda1	GNPDA1
Hsd17b4	HSD17B4
Man2a1	MAN2A1
Mcc	MCC
Srp19	SRP19
St8sia4	ST8SIA4
D1Ertd622e	C5orf30
Fam174a	FAM174A
Gin1	GIN1
Ppip5k2	PPIP5K2
Slco6b1	SLCO6A1
Nudt12	NUDT12
Rab9b-ps1	RAB9BP1
Slco4c1	SLCO4C1
Camk4	CAMK4
Epb4.1l4a	EPB41L4A
Fbxl17	FBXL17
Ftmt	FTMT
Pja2	PJA2
Ap3s1	AP3S1
Dmxl1	DMXL1
Fem1c	FEM1C
Reep5	REEP5
Isoc1	ISOC1
D0H4S114	NREP
Slc25a46	SLC25A46
Stard4	STARD4
Tmem232	TMEM232
Tslp	TSLP
Wdr36	WDR36
Dcp2	DCP2
2410004N09Rik	EPB41L4A-AS1
Tssk1	TSSK1B
Ythdc2	YTHDC2
Ccdc112	CCDC112
Kcnn2	KCNN2
Pggt1b	PGGT1B
Tmed7	TMED7
Trim36	TRIM36
Caml	CAMLG
Csnk1g3	CSNK1G3
Fbn2	FBN2
Gpx3	GPX3
Hbegf	HBEGF
2010001M09Rik	MZB1
Neurog1	NEUROG1
Nrg2	NRG2
Snx2	SNX2
4833403I15Rik	AQPEP
Commd10	COMMD10
Dtwd2	DTWD2
Fam170a	FAM170A
Prr16	PRR16
Sema6a	SEMA6A
Srfbp1	SRFBP1
Ticam2	TICAM2
Tnfaip8	TNFAIP8
1700065I17Rik	C5orf48
C330018D20Rik	C5orf63
Cdo1	CDO1
Cep120	CEP120
Gramd3	GRAMD3
Lmnb1	LMNB1
Lox	LOX
March3	MARCH3
Phax	PHAX
Ppic	PPIC
Prdm6	PRDM6
Prrc1	PRRC1
Sncaip	SNCAIP
Snx24	SNX24
Zfp474	ZNF474
Zfp608	ZNF608
Adamts19	ADAMTS19
Chsy3	CHSY3
Fnip1	FNIP1
A730017C20Rik	KIAA1024L
Lyrm7	LYRM7
Rnf14	RNF14
Slc12a2	SLC12A2
Slc22a5	SLC22A5
Slc27a6	SLC27A6
Acsl6	ACSL6
Adrb2	ADRB2
Aff4	AFF4
Aldh7a1	ALDH7A1
Apbb3	APBB3
Arhgap26	ARHGAP26
Brd8	BRD8
Cdc23	CDC23
Cdc25c	CDC25C
Cdkl3	CDKL3
Cnot8	CNOT8
Cxcl14	CXCL14
Dctn4	DCTN4
Diap1	DIAPH1
Fam114a2	FAM114A2
Fam13b	FAM13B
Fam53c	FAM53C
Fbxl21	FBXL21
Fgf1	FGF1
Hdac3	HDAC3
Hnrnpa0	HNRNPA0
Htr4	HTR4
6330403M23Rik	IGIP
Il13	IL13
Itk	ITK
Kdm3b	KDM3B
Kif20a	KIF20A
Kif3a	KIF3A
Klhl3	KLHL3
Myot	MYOT
Nme5	NME5
Npy6r	NPY6R
P4ha2	P4HA2
Pcdh12	PCDH12
Pcdha1	PCDHA1
Pcdha10	PCDHA10
Pcdha11	PCDHA11
Pcdha12	PCDHA13
Pcdha2	PCDHA2
Pcdha3	PCDHA3
Pcdha4	PCDHA4
Pcdha5	PCDHA5
Pcdha6	PCDHA6
Pcdha7	PCDHA7
Pcdha8	PCDHA9
Pcdhac1	PCDHAC1
Pcdhac2	PCDHAC2
Pcdhb1	PCDHB1
Pcdhb18	PCDHB10
Pcdhb21	PCDHB11
Pcdhb19	PCDHB12
Pcdhb16	PCDHB13
Pcdhb20	PCDHB14
Pcdhb22	PCDHB15
Pcdhb17	PCDHB16
Pcdhb14	PCDHB17
Pcdhb2	PCDHB2
Pcdhb3	PCDHB3
Pcdhb4	PCDHB4
Pcdhb5	PCDHB5
Pcdhb13	PCDHB6
Pcdhb15	PCDHB7
Pcdhga1	PCDHGA1
Pcdhga10	PCDHGA10
Pcdhga11	PCDHGA11
Pcdhga12	PCDHGA12
Pcdhga2	PCDHGA2
Pcdhga3	PCDHGA3
